term,step,estimate,lambda,dev.ratio,zeroed
JobRole_Human.Resources,78,-3.2215968355838007,6.847172340066526e-5,0.3627231816245738,FALSE
JobRole_Human.Resources,77,-3.153670467670983,7.514763190341213e-5,0.36271390608341053,FALSE
JobRole_Human.Resources,76,-3.0854251563026436,8.247443324372141e-5,0.36270362765985353,FALSE
JobRole_Human.Resources,75,-3.0134841050896033,9.051558866972372e-5,0.36269178587982315,FALSE
JobRole_Human.Resources,74,-2.9374497129610115,9.934074682289904e-5,0.3626780375238114,FALSE
JobRole_Human.Resources,73,-2.860658175901564,1.0902634700128992e-4,0.36266258741432056,FALSE
JobRole_Human.Resources,72,-2.77946376773806,1.1965628124013325e-4,0.36264456462794475,FALSE
JobRole_Human.Resources,71,-2.697120518212409,1.3132262094453617e-4,0.36262407026953836,FALSE
JobRole_Human.Resources,70,-2.613941136082026,1.44126414367941e-4,0.36260080226591646,FALSE
JobRole_Human.Resources,69,-2.5303430354787135,1.5817856184375593e-4,0.3625750312911191,FALSE
JobRole_Human.Resources,68,-2.4431082081733324,1.7360077635098916e-4,0.36254830031139806,FALSE
JobRole_Human.Resources,67,-2.3512526881404683,1.9052663773384671e-4,0.3625197570378639,FALSE
JobRole_Human.Resources,66,-2.2581163468874443,2.091027497064395e-4,0.3624872676029919,FALSE
JobRole_Human.Resources,65,-2.159323802199289,2.2949000966402086e-4,0.36244920610102305,FALSE
JobRole_Research.Director,54,2.1532136389824426,6.38569584103225e-4,0.36135790900066234,FALSE
JobRole_Research.Director,55,2.152016251457103,5.818408222230162e-4,0.36154523797689503,FALSE
JobRole_Research.Director,53,2.1505571910825134,7.008293302347037e-4,0.3611437684821306,FALSE
JobRole_Research.Director,56,2.15022882999914,5.301516871972259e-4,0.3617050028673343,FALSE
JobRole_Research.Director,78,2.1487300924036385,6.847172340066526e-5,0.3627231816245738,FALSE
JobRole_Research.Director,77,2.1466806790539725,7.514763190341213e-5,0.36271390608341053,FALSE
JobRole_Research.Director,57,2.1465887410057563,4.8305447246590105e-4,0.3618447451426575,FALSE
JobRole_Research.Director,76,2.1443148180313,8.247443324372141e-5,0.36270362765985353,FALSE
JobRole_Research.Director,58,2.142762086351857,4.401412444859441e-4,0.3619648237246643,FALSE
JobRole_Research.Director,75,2.1417927386207545,9.051558866972372e-5,0.36269178587982315,FALSE
JobRole_Research.Director,52,2.1416674201657955,7.691593247539126e-4,0.36089874444188386,FALSE
JobRole_Research.Director,59,2.1397290936101334,4.010403094059142e-4,0.36206703725293354,FALSE
JobRole_Research.Director,74,2.1390848308577675,9.934074682289904e-5,0.3626780375238114,FALSE
JobRole_Research.Director,73,2.1359894327185796,1.0902634700128992e-4,0.36266258741432056,FALSE
JobRole_Research.Director,60,2.1359134976903826,3.6541299363170135e-4,0.36215676891571624,FALSE
JobRole_Research.Director,61,2.133057012385144,3.3295071039787273e-4,0.36223300246037204,FALSE
JobRole_Research.Director,72,2.1326582955941764,1.1965628124013325e-4,0.36264456462794475,FALSE
JobRole_Research.Director,62,2.1302818201172595,3.033722869367358e-4,0.36229920518149916,FALSE
JobRole_Research.Director,71,2.128772891959324,1.3132262094453617e-4,0.36262407026953836,FALSE
JobRole_Research.Director,63,2.1276507382586245,2.7642152909433524e-4,0.36235666718114795,FALSE
JobRole_Research.Director,64,2.1252022948990237,2.518650022992524e-4,0.3624065585818234,FALSE
JobRole_Research.Director,70,2.1242279691123946,1.44126414367941e-4,0.36260080226591646,FALSE
JobRole_Research.Director,65,2.123406712355943,2.2949000966402086e-4,0.36244920610102305,FALSE
JobRole_Research.Director,66,2.1212079556270766,2.091027497064395e-4,0.3624872676029919,FALSE
