1	Annie Potts	10
1	Bill Farmer	20
1	Don Rickles	3
1	Erik von Detten	13
1	Greg Berg	17
1	Jack Angel	6
1	Jan Rabson	19
1	Jim Varney	4
1	Joan Cusack	24
1	Joe Ranft	16
1	John Morris	23
1	John Ratzenberger	12
1	Kendall Cunningham	21
1	Laurie Metcalf	8
1	Patrick Pinney	9
1	Penn Jillette	15
1	Philip Proctor	11
1	R. Lee Ermey	14
1	Sarah Freeman	22
1	Scott McAfee	18
1	Sherry Lynn	7
1	Tim Allen	2
1	Tom Hanks	1
1	Wallace Shawn	5
2	Peter Bryant	16
2	Adam Hann-Byrd	13
2	Bebe Neuwirth	5
2	Bonnie Hunt	2
2	Bradley Pierce	4
2	Darryl Henriques	14
2	David Alan Grier	11
2	David Hyde Pierce	18
2	Gillian Barber	7
2	James Handy	12
2	Jonathan Hyde	6
2	Kirsten Dunst	3
2	Laura Bell Bundy	17
2	Lloyd Berry	8
2	Malcolm Stewart	15
2	Patricia Clarkson	9
2	Robin Driscoll	10
2	Robin Williams	1
3	Ann-Margret	3
3	Buck Henry	8
3	Buffy Sedlachek	13
3	Burgess Meredith	4
3	Christopher McDonald	9
3	Daryl Hannah	5
3	Isabell Monk	12
3	Jack Lemmon	1
3	Joe Howard	10
3	John Carroll Lynch	15
3	Kevin Pollak	6
3	Ollie Osterberg	11
3	Ossie Davis	7
3	Sharon Howard-Field	14
3	Steve Cochran	16
3	Walter Matthau	2
4	Leon	12
4	Angela Bassett	2
4	Brandon Hammond	19
4	Dennis Haysbert	6
4	Donald Faison	11
4	Ezra Swerdlow	17
4	Giancarlo Esposito	10
4	Graham Galloway	18
4	Gregory Hines	5
4	Jeffrey D. Sams	20
4	Lamont Johnson	16
4	Lela Rochon	4
4	Loretta Devine	3
4	Michael Beach	7
4	Mykelti Williamson	15
4	Starletta DuPois	9
4	Wendell Pierce	13
4	Wesley Snipes	14
4	Whitney Houston	1
4	Wren T. Brown	8
5	Ann Walker	24
5	Annie Meyers-Shyer	12
5	April Ortiz	21
5	B.D. Wong	15
5	Caroline Lagerfelt	10
5	Diane Keaton	2
5	Eugene Levy	20
5	George Newbern	5
5	Hallie Meyers-Shyer	13
5	Harris Laskaway	23
5	Jane Adams (II)	26
5	Jonathan Emerson	18
5	Kate McGregor-Stewart	11
5	K.C. Colwell	25
5	Kieran Culkin	6
5	Kimberly Williams	4
5	Linda de Scenna	17
5	Martin Short	3
5	Mychael Bates	7
5	Peter Michael Goetz	9
5	Seth Kaplan	19
5	Shannon Kennedy	22
5	Steve Martin	1
5	Susan Beaubian	8
5	Tony Simotes	14
5	Wendy Worthington	16
6	Al Pacino	1
6	Amy Brenneman	7
6	Ashley Judd	8
6	Begonia Plaza	35
6	Bill McIntosh	45
6	Brian Libby	29
6	Bud Cort	20
6	Dan Martin	30
6	Daniel O'Haco	33
6	Danny Trejo	12
6	Dennis Haysbert	14
6	Diane Venora	6
6	Farrah Forke	46
6	Hank Azaria	16
6	Hazelle Goodman	25
6	Henry Rollins	44
6	Jeremy Piven	34
6	Jerry Trimble	40
6	Jon Voight	4
6	Kai Soremekun	37
6	Kenny Endoso	42
6	Kevin Gage	17
6	Kim Staunton	38
6	Kimberly Flynn	24
6	Mario Roberts	47
6	Martin Ferrero	23
6	Mykelti Williamson	9
6	Natalie Portman	18
6	Niki Harris	26
6	Patricia Healy	27
6	Paul Herman	28
6	Ray Buktenica	22
6	Rick Avery	41
6	Rick Marzan	31
6	Robert De Niro	2
6	Steven Ford	43
6	Susan Traylor	39
6	Ted Levine	10
6	Terry Miller	32
6	Thomas Rosales Jr.	36
6	Tom Noonan	13
6	Tom Sizemore	5
6	Tone-Loc	19
6	Val Kilmer	3
6	Wes Studi	11
6	William Fichtner	15
6	Xander Berkeley	21
7	Colin Campbell	25
7	John Williams (II)	5
7	Paul Harvey	17
7	Audrey Hepburn	2
7	Bill Neff	20
7	Charles Harvey	16
7	David Ahdar	26
7	Ellen Corby	12
7	Emmett Vogan	24
7	Emory Parnell	21
7	Francis X. Bushman	6
7	Harvey B. Dunn	14
7	Humphrey Bogart	1
7	Joan Vohs	8
7	Kay Riehl	22
7	Kay E. Kuter	19
7	Marcel Dalio	9
7	Marcel Hillaire	10
7	Marion Ross	23
7	Marjorie Bennett	13
7	Martha Hyer	7
7	Nancy Kulp	18
7	Nella Walker	11
7	Otto Forrest	27
7	Rand Harper	15
7	Walter Hampden	4
7	William Holden	3
8	William Newman	15
8	Marian Seldes	11
8	Amy Wright	5
8	Blake Heron	14
8	Brad Renfro	2
8	Charles Rocket	4
8	Courtland Mead	12
8	Eric Schweig	3
8	Heath Lamberts	9
8	Jonathan Taylor Thomas	1
8	Kellen Hathaway	8
8	Lanny Flaherty	7
8	Michael McShane	6
8	Peter Mackenzie	10
8	Rachael Leigh Cook	13
9	Alan Clement	44
9	Allan Pinsker	62
9	Anthony Marino	58
9	Audra Lindley	18
9	Bernard Canepari	12
9	Bill Clement	40
9	Bill Dalzell III	13
9	Brad Moniz	60
9	Brian Smrz	31
9	Brian Delate	38
9	Brian Hutchison	51
9	Butch Luick	56
9	Callum Keith-King	54
9	Daniel R. Pagath	61
9	David Flick	46
9	Dean E. Wells	28
9	Diane Robin	25
9	Dixie Neyland Tymitz	27
9	Dorian Harewood	6
9	Douglas Rees	63
9	Ed Evanko	41
9	Faith Minton	21
9	Fred M. Waugh	35
9	Fred Mancuso	57
9	Gilbert B. Combs	37
9	Glenda Morgan Brown	71
9	Glenn Alan Gardner	47
9	Harold Surratt	34
9	Jack Erdie	45
9	Jack Skelly	66
9	Jay Caufield	43
9	Jean Pierre Nutini	23
9	Jean-Claude Van Damme	1
9	Jeff Habberstad	33
9	Jeff Hochendoner	50
9	Jeff Howell	15
9	Jeff Jimerson	52
9	Jennifer D. Bowser	42
9	John Hall	72
9	John Hateley	14
9	John Sterling	32
9	Jophery C. Brown	29
9	Karen Baldwin	9
9	Kate McNeil	19
